"","dissemination"
"1",0
"2",0.032
"3",0.033
"4",0.037
"5",0.05
"6",0.052
"7",0.058
"8",0.073
"9",0.077
"10",0.079
"11",0.087
"12",0.091
"13",0.095
"14",0.098
"15",0.1
"16",0.101
"17",0.109
"18",0.111
"19",0.112
"20",0.121
"21",0.125
"22",0.13
"23",0.136
"24",0.137
"25",0.144
"26",0.159
"27",0.16
"28",0.173
"29",0.175
"30",0.177
"31",0.179
"32",0.182
"33",0.183
"34",0.188
"35",0.196
"36",0.199
"37",0.2
"38",0.204
"39",0.206
"40",0.208
"41",0.218
"42",0.23
"43",0.231
"44",0.234
"45",0.235
"46",0.243
"47",0.268
"48",0.275
"49",0.288
"50",0.293
"51",0.3
"52",0.316
"53",0.327
"54",0.346
"55",0.358
"56",0.362
"57",0.375
"58",0.376
"59",0.394
"60",0.411
"61",0.418
"62",0.427
"63",0.435
"64",0.436
"65",0.45
"66",0.457
"67",0.468
"68",0.486
"69",0.506
"70",0.564
"71",0.577
"72",0.612
"73",0.617
"74",0.727
"75",0.77
"76",0.812
