Index,Variant,Region..subregion..country.or.area..,Notes,Location.code,ISO3.Alpha.code,ISO2.Alpha.code,SDMX.code..,Type,Parent.code,Year,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100.
19409,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2024,  2 555,  2 580,  2 610,  2 642,  2 709,  2 794,  2 831,  2 822,  2 855,  2 894,  2 879,  2 867,  2 874,  2 884,  2 894,  2 906,  2 934,  2 976,  3 018,  3 043,  3 050,  3 084,  3 144,  3 201,  3 252,  3 293,  3 302,  3 280,  3 261,  3 236,  3 212,  3 195,  3 198,  3 223,  3 252,  3 283,  3 312,  3 344,  3 366,  3 371,  3 369,  3 356,  3 322,  3 270,  3 205,  3 132,  3 053,  2 971,  2 889,  2 810,  2 748,  2 691,  2 624,  2 557,  2 494,  2 440,  2 405,  2 383,  2 360,  2 330,  2 287,  2 228,  2 154,  2 076,  1 994,  1 908,  1 817,  1 726,  1 636,  1 547,  1 459,  1 373,  1 288,  1 202,  1 120,  1 023,918,825,744,676,613,552,494,437,383,331,280,233,192,156,126,100,77,58,43,30,21,14,9,6,8
19410,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2025,  2 519,  2 545,  2 574,  2 605,  2 638,  2 705,  2 790,  2 827,  2 819,  2 852,  2 891,  2 876,  2 865,  2 872,  2 881,  2 890,  2 901,  2 927,  2 968,  3 008,  3 033,  3 040,  3 073,  3 133,  3 189,  3 239,  3 280,  3 289,  3 268,  3 249,  3 225,  3 201,  3 184,  3 188,  3 213,  3 242,  3 273,  3 302,  3 334,  3 356,  3 361,  3 359,  3 345,  3 311,  3 259,  3 194,  3 120,  3 041,  2 958,  2 876,  2 796,  2 734,  2 676,  2 609,  2 541,  2 477,  2 423,  2 386,  2 363,  2 339,  2 307,  2 263,  2 202,  2 128,  2 048,  1 965,  1 878,  1 787,  1 695,  1 604,  1 514,  1 426,  1 339,  1 252,  1 165,  1 081,985,880,787,706,637,574,514,456,400,347,296,247,204,166,133,106,83,63,46,33,23,16,10,6,9
19411,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2026,  2 481,  2 510,  2 540,  2 569,  2 600,  2 634,  2 701,  2 787,  2 824,  2 816,  2 849,  2 888,  2 873,  2 862,  2 869,  2 878,  2 885,  2 894,  2 919,  2 959,  2 998,  3 023,  3 029,  3 061,  3 121,  3 177,  3 227,  3 268,  3 278,  3 257,  3 238,  3 215,  3 191,  3 175,  3 178,  3 204,  3 233,  3 264,  3 292,  3 325,  3 346,  3 350,  3 349,  3 335,  3 300,  3 248,  3 182,  3 108,  3 028,  2 945,  2 862,  2 782,  2 719,  2 661,  2 593,  2 525,  2 460,  2 404,  2 367,  2 343,  2 317,  2 283,  2 238,  2 176,  2 099,  2 018,  1 935,  1 847,  1 755,  1 662,  1 571,  1 480,  1 391,  1 303,  1 214,  1 125,  1 041,944,839,747,666,598,534,474,418,362,311,262,216,176,141,112,87,67,50,36,25,17,11,7,10
19412,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2027,  2 449,  2 472,  2 504,  2 535,  2 565,  2 596,  2 630,  2 698,  2 784,  2 821,  2 813,  2 847,  2 886,  2 871,  2 859,  2 865,  2 873,  2 879,  2 886,  2 910,  2 949,  2 988,  3 012,  3 018,  3 051,  3 110,  3 166,  3 216,  3 257,  3 267,  3 246,  3 228,  3 205,  3 182,  3 166,  3 169,  3 195,  3 224,  3 255,  3 283,  3 315,  3 336,  3 340,  3 338,  3 324,  3 289,  3 236,  3 170,  3 095,  3 015,  2 932,  2 848,  2 767,  2 704,  2 645,  2 576,  2 507,  2 441,  2 385,  2 346,  2 321,  2 293,  2 258,  2 211,  2 147,  2 070,  1 988,  1 903,  1 814,  1 721,  1 628,  1 536,  1 444,  1 354,  1 263,  1 173,  1 083,999,901,797,706,625,557,494,434,379,325,275,229,187,150,118,92,71,54,39,28,19,13,8,12
19413,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2028,  2 420,  2 441,  2 467,  2 500,  2 531,  2 561,  2 593,  2 627,  2 695,  2 781,  2 819,  2 811,  2 845,  2 884,  2 868,  2 856,  2 861,  2 867,  2 872,  2 878,  2 901,  2 940,  2 979,  3 003,  3 008,  3 040,  3 099,  3 155,  3 206,  3 247,  3 257,  3 237,  3 219,  3 196,  3 173,  3 157,  3 161,  3 186,  3 215,  3 246,  3 274,  3 306,  3 326,  3 330,  3 328,  3 313,  3 277,  3 224,  3 157,  3 082,  3 002,  2 917,  2 833,  2 752,  2 688,  2 628,  2 558,  2 489,  2 422,  2 365,  2 325,  2 298,  2 269,  2 231,  2 183,  2 118,  2 039,  1 956,  1 870,  1 780,  1 687,  1 593,  1 499,  1 406,  1 313,  1 221,  1 130,  1 040,954,856,753,663,583,515,453,394,340,288,241,198,159,126,98,75,57,42,30,21,14,9,14
19414,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2029,  2 396,  2 413,  2 436,  2 463,  2 496,  2 528,  2 558,  2 590,  2 625,  2 693,  2 779,  2 817,  2 809,  2 843,  2 881,  2 865,  2 852,  2 855,  2 860,  2 864,  2 870,  2 893,  2 931,  2 969,  2 993,  2 999,  3 030,  3 090,  3 145,  3 196,  3 238,  3 248,  3 228,  3 210,  3 188,  3 165,  3 149,  3 153,  3 178,  3 206,  3 237,  3 265,  3 296,  3 316,  3 320,  3 317,  3 302,  3 265,  3 211,  3 144,  3 069,  2 987,  2 902,  2 818,  2 736,  2 671,  2 610,  2 540,  2 469,  2 402,  2 343,  2 302,  2 273,  2 242,  2 203,  2 153,  2 086,  2 006,  1 922,  1 835,  1 745,  1 650,  1 555,  1 460,  1 364,  1 270,  1 177,  1 085,994,907,810,708,618,539,472,411,354,301,253,209,169,134,104,80,60,45,32,23,15,10,15
19415,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2030,  2 375,  2 389,  2 408,  2 432,  2 460,  2 493,  2 525,  2 556,  2 588,  2 623,  2 691,  2 777,  2 815,  2 807,  2 840,  2 878,  2 861,  2 847,  2 849,  2 853,  2 856,  2 862,  2 884,  2 922,  2 960,  2 984,  2 989,  3 021,  3 080,  3 136,  3 187,  3 229,  3 240,  3 220,  3 202,  3 180,  3 157,  3 141,  3 145,  3 169,  3 198,  3 228,  3 256,  3 287,  3 306,  3 309,  3 306,  3 290,  3 253,  3 198,  3 130,  3 054,  2 972,  2 887,  2 801,  2 719,  2 653,  2 592,  2 520,  2 449,  2 380,  2 321,  2 278,  2 247,  2 215,  2 174,  2 122,  2 053,  1 972,  1 887,  1 799,  1 708,  1 612,  1 515,  1 417,  1 320,  1 224,  1 130,  1 037,945,858,761,661,572,495,429,369,314,264,219,178,143,111,85,64,47,34,24,17,11,17
19416,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2031,  2 354,  2 368,  2 385,  2 405,  2 429,  2 457,  2 491,  2 523,  2 554,  2 586,  2 621,  2 689,  2 775,  2 813,  2 805,  2 837,  2 875,  2 856,  2 840,  2 842,  2 845,  2 848,  2 854,  2 876,  2 914,  2 952,  2 975,  2 980,  3 012,  3 072,  3 128,  3 179,  3 221,  3 232,  3 212,  3 195,  3 172,  3 149,  3 133,  3 137,  3 161,  3 189,  3 219,  3 247,  3 277,  3 296,  3 299,  3 294,  3 277,  3 240,  3 185,  3 116,  3 039,  2 957,  2 871,  2 785,  2 702,  2 635,  2 572,  2 500,  2 428,  2 358,  2 297,  2 252,  2 220,  2 185,  2 143,  2 089,  2 019,  1 937,  1 851,  1 762,  1 668,  1 570,  1 471,  1 372,  1 273,  1 176,  1 081,987,895,807,711,612,526,450,386,328,276,229,187,150,118,91,68,50,36,26,18,12,19
19417,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2032,  2 333,  2 348,  2 365,  2 382,  2 402,  2 426,  2 455,  2 489,  2 521,  2 552,  2 584,  2 619,  2 687,  2 774,  2 811,  2 802,  2 834,  2 870,  2 850,  2 834,  2 835,  2 838,  2 841,  2 846,  2 868,  2 906,  2 943,  2 967,  2 972,  3 004,  3 064,  3 120,  3 172,  3 214,  3 225,  3 205,  3 187,  3 165,  3 142,  3 125,  3 129,  3 153,  3 181,  3 210,  3 237,  3 267,  3 286,  3 287,  3 282,  3 265,  3 226,  3 170,  3 101,  3 024,  2 941,  2 854,  2 767,  2 683,  2 615,  2 552,  2 478,  2 405,  2 334,  2 271,  2 225,  2 191,  2 154,  2 110,  2 055,  1 984,  1 900,  1 812,  1 722,  1 626,  1 526,  1 424,  1 324,  1 224,  1 126,  1 029,935,842,754,659,563,479,405,343,289,240,196,158,125,97,73,54,39,27,19,13,21
19418,Median PI,Brazil,,76,BRA,BR,76,Country/Area,931,2033,  2 314,  2 327,  2 344,  2 362,  2 379,  2 400,  2 424,  2 453,  2 487,  2 519,  2 550,  2 583,  2 618,  2 686,  2 772,  2 809,  2 799,  2 830,  2 864,  2 844,  2 827,  2 828,  2 831,  2 834,  2 838,  2 860,  2 898,  2 936,  2 959,  2 965,  2 997,  3 057,  3 113,  3 165,  3 207,  3 217,  3 198,  3 180,  3 158,  3 134,  3 118,  3 121,  3 145,  3 172,  3 201,  3 228,  3 257,  3 275,  3 275,  3 270,  3 251,  3 212,  3 155,  3 086,  3 007,  2 924,  2 836,  2 748,  2 664,  2 595,  2 530,  2 456,  2 381,  2 308,  2 244,  2 196,  2 160,  2 122,  2 076,  2 019,  1 946,  1 861,  1 772,  1 679,  1 580,  1 478,  1 375,  1 273,  1 172,  1 073,975,880,787,700,606,513,431,361,302,251,205,166,131,102,78,57,41,29,20,14,23
