name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.8,1,1,176,NA
inf,1,2,0.8,1,1,157,NA
inf,1,3,0.8,1,1,145,NA
inf,1,4,0.8,1,1,NA,NA
inf,1,5,0.8,1,1,15,NA
inf,1,6,0.8,1,1,188,NA
inf,1,7,0.8,1,1,NA,NA
inf,1,8,0.8,1,1,171,NA
inf,1,9,0.8,1,1,11,NA
inf,1,10,0.8,1,1,45,NA
inf,1,11,0.8,1,1,16,NA
inf,1,12,0.8,1,1,189,NA
inf,1,13,0.8,1,1,189,NA
inf,1,14,0.8,1,1,NA,NA
inf,1,15,0.8,1,1,190,NA
inf,1,16,0.8,1,1,5,NA
inf,1,17,0.8,1,1,41,NA
inf,1,18,0.8,1,1,188,NA
inf,1,19,0.8,1,1,59,NA
inf,1,20,0.8,1,1,98,NA
inf,1,21,0.8,1,1,NA,NA
inf,1,22,0.8,1,1,141,NA
inf,1,23,0.8,1,1,193,NA
inf,1,24,0.8,1,1,79,NA
inf,1,25,0.8,1,1,139,NA
inf,1,26,0.8,1,1,116,NA
inf,1,27,0.8,1,1,173,NA
inf,1,28,0.8,1,1,18,NA
inf,1,29,0.8,1,1,34,NA
inf,1,30,0.8,1,1,7,NA
inf,1,31,0.8,1,1,90,NA
inf,1,32,0.8,1,1,171,NA
inf,1,33,0.8,1,1,21,NA
inf,1,34,0.8,1,1,16,NA
inf,1,35,0.8,1,1,126,NA
inf,1,36,0.8,1,1,39,NA
inf,1,37,0.8,1,1,187,NA
inf,1,38,0.8,1,1,187,NA
inf,1,39,0.8,1,1,154,NA
inf,1,40,0.8,1,1,170,NA
inf,1,41,0.8,1,1,182,NA
inf,1,42,0.8,1,1,18,NA
inf,1,43,0.8,1,1,181,NA
inf,1,44,0.8,1,1,101,NA
inf,1,45,0.8,1,1,26,NA
inf,1,46,0.8,1,1,3,NA
inf,1,47,0.8,1,1,NA,NA
inf,1,48,0.8,1,1,189,NA
inf,1,49,0.8,1,1,184,NA
inf,1,50,0.8,1,1,25,NA
inf,2,1,0.8,1,2,108,NA
inf,2,2,0.8,1,2,158,NA
inf,2,3,0.8,1,2,179,NA
inf,2,4,0.8,1,2,172,NA
inf,2,5,0.8,1,2,37,NA
inf,2,6,0.8,1,2,NA,NA
inf,2,7,0.8,1,2,6,NA
inf,2,8,0.8,1,2,172,NA
inf,2,9,0.8,1,2,174,NA
inf,2,10,0.8,1,2,185,NA
inf,2,11,0.8,1,2,79,NA
inf,2,12,0.8,1,2,132,NA
inf,2,13,0.8,1,2,NA,NA
inf,2,14,0.8,1,2,47,NA
inf,2,15,0.8,1,2,20,NA
inf,2,16,0.8,1,2,129,NA
inf,2,17,0.8,1,2,109,NA
inf,2,18,0.8,1,2,78,NA
inf,2,19,0.8,1,2,47,NA
inf,2,20,0.8,1,2,5,NA
inf,2,21,0.8,1,2,191,NA
inf,2,22,0.8,1,2,42,NA
inf,2,23,0.8,1,2,NA,NA
inf,2,24,0.8,1,2,NA,NA
inf,2,25,0.8,1,2,19,NA
inf,2,26,0.8,1,2,10,NA
inf,2,27,0.8,1,2,118,NA
inf,2,28,0.8,1,2,141,NA
inf,2,29,0.8,1,2,97,NA
inf,2,30,0.8,1,2,47,NA
inf,2,31,0.8,1,2,84,NA
inf,2,32,0.8,1,2,NA,NA
inf,2,33,0.8,1,2,17,NA
inf,2,34,0.8,1,2,48,NA
inf,2,35,0.8,1,2,180,NA
inf,2,36,0.8,1,2,27,NA
inf,2,37,0.8,1,2,24,NA
inf,2,38,0.8,1,2,140,NA
inf,2,39,0.8,1,2,7,NA
inf,2,40,0.8,1,2,154,NA
inf,2,41,0.8,1,2,152,NA
inf,2,42,0.8,1,2,178,NA
inf,2,43,0.8,1,2,6,NA
inf,2,44,0.8,1,2,62,NA
inf,2,45,0.8,1,2,NA,NA
inf,2,46,0.8,1,2,17,NA
inf,2,47,0.8,1,2,NA,NA
inf,2,48,0.8,1,2,8,NA
inf,2,49,0.8,1,2,37,NA
inf,2,50,0.8,1,2,174,NA
inf,3,1,0.8,1,3,21,NA
inf,3,2,0.8,1,3,5,NA
inf,3,3,0.8,1,3,21,NA
inf,3,4,0.8,1,3,NA,NA
inf,3,5,0.8,1,3,189,NA
inf,3,6,0.8,1,3,111,NA
inf,3,7,0.8,1,3,124,NA
inf,3,8,0.8,1,3,38,NA
inf,3,9,0.8,1,3,15,NA
inf,3,10,0.8,1,3,NA,NA
inf,3,11,0.8,1,3,187,NA
inf,3,12,0.8,1,3,5,NA
inf,3,13,0.8,1,3,69,NA
inf,3,14,0.8,1,3,189,NA
inf,3,15,0.8,1,3,57,NA
inf,3,16,0.8,1,3,NA,NA
inf,3,17,0.8,1,3,185,NA
inf,3,18,0.8,1,3,NA,NA
inf,3,19,0.8,1,3,NA,NA
inf,3,20,0.8,1,3,9,NA
inf,3,21,0.8,1,3,61,NA
inf,3,22,0.8,1,3,189,NA
inf,3,23,0.8,1,3,65,NA
inf,3,24,0.8,1,3,181,NA
inf,3,25,0.8,1,3,NA,NA
inf,3,26,0.8,1,3,187,NA
inf,3,27,0.8,1,3,10,NA
inf,3,28,0.8,1,3,180,NA
inf,3,29,0.8,1,3,NA,NA
inf,3,30,0.8,1,3,138,NA
inf,3,31,0.8,1,3,NA,NA
inf,3,32,0.8,1,3,NA,NA
inf,3,33,0.8,1,3,184,NA
inf,3,34,0.8,1,3,30,NA
inf,3,35,0.8,1,3,154,NA
