name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,1,1,1,312,465
inf,1,2,1,1,1,334,428
inf,1,3,1,1,1,329,429
inf,1,4,1,1,1,NA,33
inf,1,5,1,1,1,323,412
inf,1,6,1,1,1,310,457
inf,1,7,1,1,1,NA,48
inf,1,8,1,1,1,319,456
inf,1,9,1,1,1,320,419
inf,1,10,1,1,1,356,379
inf,1,11,1,1,1,333,392
inf,1,12,1,1,1,313,459
inf,1,13,1,1,1,306,488
inf,1,14,1,1,1,NA,31
inf,1,15,1,1,1,307,471
inf,1,16,1,1,1,322,399
inf,1,17,1,1,1,1466,1475
inf,1,18,1,1,1,307,457
inf,1,19,1,1,1,326,419
inf,1,20,1,1,1,352,385
inf,1,21,1,1,1,NA,43
inf,1,22,1,1,1,328,432
inf,1,23,1,1,1,307,472
inf,1,24,1,1,1,347,399
inf,1,25,1,1,1,351,386
inf,1,26,1,1,1,336,406
inf,1,27,1,1,1,316,451
inf,1,28,1,1,1,332,400
inf,1,29,1,1,1,361,375
inf,1,30,1,1,1,315,428
inf,1,31,1,1,1,329,422
inf,1,32,1,1,1,322,452
inf,1,33,1,1,1,329,404
inf,1,34,1,1,1,318,424
inf,1,35,1,1,1,333,419
inf,1,36,1,1,1,325,416
inf,1,37,1,1,1,309,476
inf,1,38,1,1,1,313,471
inf,1,39,1,1,1,342,401
inf,1,40,1,1,1,318,441
inf,1,41,1,1,1,314,468
inf,1,42,1,1,1,317,428
inf,1,43,1,1,1,316,465
inf,1,44,1,1,1,347,393
inf,1,45,1,1,1,313,433
inf,1,46,1,1,1,307,428
inf,1,47,1,1,1,NA,22
inf,1,48,1,1,1,307,470
inf,1,49,1,1,1,313,454
inf,1,50,1,1,1,347,389
inf,2,1,1,1,2,348,389
inf,2,2,1,1,2,324,434
inf,2,3,1,1,2,316,446
inf,2,4,1,1,2,318,441
inf,2,5,1,1,2,352,393
inf,2,6,1,1,2,NA,17
inf,2,7,1,1,2,323,403
inf,2,8,1,1,2,325,438
inf,2,9,1,1,2,321,455
inf,2,10,1,1,2,318,444
inf,2,11,1,1,2,360,387
inf,2,12,1,1,2,331,425
inf,2,13,1,1,2,NA,27
